"","Date","Q_m3_s"
"442",2016-12-01,1.93723899380111
"443",2016-12-02,1.9281103695425
"444",2016-12-03,1.9198250666647
"445",2016-12-04,1.91336108075806
"446",2016-12-05,1.90829689248525
"447",2016-12-06,1.90229956075442
"448",2016-12-07,1.89653422416577
"449",2016-12-08,1.88954170893742
"450",2016-12-09,1.9042829036025
"451",2016-12-10,2.08652719177141
"452",2016-12-11,2.29449271028999
"453",2016-12-12,2.09097630392067
"454",2016-12-13,2.01588109629346
"455",2016-12-14,1.97997310552986
"456",2016-12-15,2.01647137704997
"457",2016-12-16,2.01471355232517
"458",2016-12-17,1.95802196448219
"459",2016-12-18,1.94271798050814
"460",2016-12-19,1.96560338309488
"461",2016-12-20,2.20800397582077
"462",2016-12-21,2.17107991527917
"463",2016-12-22,2.07937051070762
"464",2016-12-23,2.03806232556578
"465",2016-12-24,2.01018405677333
"466",2016-12-25,1.99227376714833
"467",2016-12-26,1.97292394104074
"468",2016-12-27,1.97383994237418
"469",2016-12-28,1.96569202967059
"470",2016-12-29,1.9337604180977
"471",2016-12-30,1.96547479090011
"472",2016-12-31,1.95181894724223
"473",2017-01-01,1.91827976797601
"474",2017-01-02,1.90538335391857
"475",2017-01-03,1.89151682178017
"476",2017-01-04,1.88516761742294
"477",2017-01-05,1.87710180002447
"478",2017-01-06,1.8711666076411
"479",2017-01-07,1.89410018348403
"480",2017-01-08,1.88751202724892
"481",2017-01-09,1.88341369169508
"482",2017-01-10,1.85743953795928
"483",2017-01-11,1.84223669167061
"484",2017-01-12,1.8300650318479
"485",2017-01-13,1.82353219830557
"486",2017-01-14,1.81386512092354
"487",2017-01-15,1.80705137752505
"488",2017-01-16,1.79998890585743
"489",2017-01-17,1.79134390354465
"490",2017-01-18,1.78559598135149
"491",2017-01-19,1.78625539004218
"492",2017-01-20,1.78172399987655
"493",2017-01-21,1.78045010834559
"494",2017-01-22,1.75025131552878
"495",2017-01-23,1.72467975190915
"496",2017-01-24,1.71145856545676
"497",2017-01-25,1.70707482330635
"498",2017-01-26,1.71729631275329
"499",2017-01-27,1.73008418631192
"500",2017-01-28,1.71533561311878
"501",2017-01-29,1.72691908059091
"502",2017-01-30,1.74748708633432
"503",2017-01-31,1.70551992246856
"504",2017-02-01,1.68743514187429
"505",2017-02-02,1.68159792596369
"506",2017-02-03,1.69558535451633
"507",2017-02-04,1.91604928682007
"508",2017-02-05,1.7268015380829
"509",2017-02-06,1.67688675922949
"510",2017-02-07,1.64897655346783
"511",2017-02-08,1.62424745218366
"512",2017-02-09,1.60900516027819
"513",2017-02-10,1.59596684948097
"514",2017-02-11,1.58346065397359
"515",2017-02-12,1.57679110243513
"516",2017-02-13,1.57019096532092
"517",2017-02-14,1.59636073876315
"518",2017-02-15,1.64393130678226
"519",2017-02-16,1.6701813953267
"520",2017-02-17,1.58798367230101
"521",2017-02-18,1.56308603784376
"522",2017-02-19,1.55105859167504
"523",2017-02-20,1.53479011119412
"524",2017-02-21,1.52690956408537
